squareMeters,rooms,latitude,longitude,centreDistance,poiCount,price,date,hasParkingSpace_no,hasParkingSpace_yes,hasBalcony_no,hasBalcony_yes,hasBalcony_no,hasBalcony_yes,hasBalcony_no,hasBalcony_yes,hasSecurity_no,hasSecurity_yes,hasStorageRoom_no,hasStorageRoom_yes
126.0,4.0,52.2031,20.996,3.22,18.0,14000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
48.0,2.0,52.20642755,21.01682425,2.95,38.0,4300,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
71.0,3.0,52.25704,20.97787,3.32,28.0,7700,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
74.0,4.0,52.1965,21.0378,4.56,5.0,4500,November 2023,0,1,1,0,1,0,1,0,0,1,1,0
82.0,3.0,52.1554,21.05586,9.2,18.0,5200,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
35.0,2.0,52.1976,20.939,5.81,3.0,3400,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
96.0,3.0,52.2257689,21.0260328,1.67,35.0,8500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
53.0,3.0,52.1925,21.015,4.43,28.0,3000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
75.0,3.0,52.23577845,21.04871295,3.11,21.0,6900,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
65.0,3.0,52.21636,21.0442,3.25,7.0,6300,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
63.0,3.0,52.23933,20.99469,1.04,69.0,5700,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
40.0,2.0,52.18445275,21.01356895,5.3,15.0,4000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
64.0,2.0,52.2147276,21.0193935,2.17,29.0,6000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
30.0,2.0,52.2298,21.0922,6.04,18.0,3000,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
70.0,3.0,52.2252,20.9786,1.85,20.0,8500,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
80.0,3.0,52.2364,20.9909,1.01,85.0,9500,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
48.0,3.0,52.211739809739,21.0456615329969,3.63,9.0,3500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
43.14,2.0,52.203,20.9494,4.88,7.0,4300,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
70.0,3.0,52.23224,20.98758,1.09,67.0,7500,November 2023,1,0,1,0,1,0,1,0,0,1,1,0
47.0,2.0,52.2067242,20.9202755,6.32,10.0,3500,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
70.0,3.0,52.2322,20.9876,1.09,66.0,7500,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
103.0,4.0,52.204167,21.014722,3.16,34.0,5200,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
78.0,3.0,52.20779,20.96483,3.75,13.0,5000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
52.0,2.0,52.235,20.9845,1.35,63.0,5700,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
33.0,2.0,52.2904017,20.9352687,8.01,23.0,2965,November 2023,0,1,0,1,0,1,0,1,1,0,0,1
32.4,2.0,52.22412,20.94456,4.11,38.0,3200,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
50.0,2.0,52.14964,21.03906,9.44,20.0,3500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
120.0,5.0,52.16965,21.0443,7.44,7.0,7000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
106.0,5.0,52.28058,20.96393,6.07,8.0,10900,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
60.0,3.0,52.28586,21.02666,6.22,21.0,4100,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
55.0,2.0,52.191991,20.9751076,4.82,5.0,4000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
50.0,2.0,52.23504,20.98449,1.35,63.0,5900,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
43.0,2.0,52.22733,21.0772,5.04,22.0,3500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
40.0,2.0,52.27722,21.01418,5.11,1.0,4500,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
80.0,3.0,52.194157,21.0346955,4.68,4.0,7500,November 2023,0,1,0,1,0,1,0,1,1,0,0,1
45.0,2.0,52.19232,20.90863701,7.81,14.0,3300,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
87.0,4.0,52.16408,21.07949,9.13,26.0,8000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
33.0,2.0,52.20391,20.93607,5.54,6.0,4570,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
93.0,3.0,52.21888,20.99858,1.47,9.0,7500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
47.2,2.0,52.18102,21.02848,5.89,15.0,2800,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
85.0,4.0,52.2619445,20.98136565,3.69,25.0,5500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
65.0,3.0,52.21651,21.04147,3.09,6.0,6300,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
30.0,1.0,52.2330149,21.0238717,1.39,73.0,3000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
49.0,2.0,52.22794,20.95852,3.1,11.0,5900,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
51.0,2.0,52.23033,21.10238,6.73,16.0,4000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
40.0,2.0,52.20524,20.99802,2.97,24.0,3500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
46.0,2.0,52.22916,21.10531,6.94,12.0,2900,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
71.5,4.0,52.20272,20.95238,4.75,9.0,5300,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
63.0,3.0,52.2393169281887,20.9947425641675,1.04,70.0,5700,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
25.0,1.0,52.2463263,20.98813247,1.93,40.0,2500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
56.0,2.0,52.2243653,21.1459045,9.73,10.0,3499,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
31.0,1.0,52.2119496,21.0455826,3.61,8.0,2900,November 2023,0,1,1,0,1,0,1,0,1,0,0,1
140.0,4.0,52.186263,21.030013,5.37,9.0,12000,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
27.0,1.0,52.23994095,20.99337105,1.15,72.0,2800,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
40.0,2.0,52.2271606,20.95660948,3.24,12.0,4500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
48.5,2.0,52.2022038,20.9426668,5.29,3.0,3200,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
44.3,2.0,52.2644,21.0449,4.6,12.0,4300,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
49.0,2.0,52.1679163733057,21.0800735815696,8.8,22.0,4500,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
69.1,3.0,52.12852,21.06337,12.18,29.0,3600,November 2023,1,0,1,0,1,0,1,0,0,1,1,0
53.4,2.0,52.3291,20.9389,11.69,22.0,3000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
63.0,3.0,52.2948236394152,21.054255180987,7.82,21.0,3600,November 2023,0,1,1,0,1,0,1,0,0,1,1,0
40.0,2.0,52.2507,21.0383,3.17,44.0,3700,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
51.0,3.0,52.2021709174578,21.0189213629342,3.45,43.0,3800,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
50.0,2.0,52.2538,20.9277,5.72,17.0,2500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
62.0,3.0,52.2082859,21.0422211,3.7,17.0,8000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
137.0,4.0,52.2560812,21.0052214,2.71,20.0,10000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
27.06,1.0,52.1931472,20.940877,6.05,0.0,2500,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
38.4,2.0,52.23338,20.95718,3.16,16.0,4500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
64.0,3.0,52.18001,21.02836,5.99,13.0,5300,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
57.0,3.0,52.1954246,21.0134589,4.09,30.0,5000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
58.0,2.0,52.2690076,20.9872034,4.29,36.0,3900,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
45.0,2.0,52.2693286,20.9818745,4.44,41.0,2900,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
100.0,3.0,52.24892,21.00941,1.95,82.0,16000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
46.0,2.0,52.155069,21.080622,10.01,8.0,3100,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
39.0,2.0,52.16549,21.06666,8.53,12.0,3200,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
38.0,2.0,52.2345,20.99179,0.86,90.0,6200,November 2023,1,0,1,0,1,0,1,0,0,1,1,0
38.0,2.0,52.2471608,21.0344245,2.71,15.0,3200,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
75.0,3.0,52.22534,21.03806,2.45,22.0,8500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
50.5,3.0,52.16908,20.9951,6.99,9.0,5300,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
49.27,2.0,52.18248,20.99402,5.51,19.0,4500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
87.0,3.0,52.2573024,20.9940056,2.92,31.0,6200,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
80.0,3.0,52.14278,21.03565,10.13,13.0,5000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
50.0,2.0,52.24919095,21.04190188,3.25,24.0,4000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
50.74,2.0,52.20230415,20.96361602,4.25,16.0,4200,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
40.0,2.0,52.14181,21.04652,10.42,24.0,3200,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
36.0,2.0,52.2337152,21.02523983,1.49,68.0,2790,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
55.0,2.0,52.3336651,20.94571524,12.0,22.0,2800,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
45.3,2.0,52.2674981,20.9476001,5.51,17.0,3000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
43.0,2.0,52.23362,20.95361,3.41,15.0,5900,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
65.73,3.0,52.2445573,20.9618242,3.18,17.0,6500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
40.0,2.0,52.14012592,21.05745364,10.83,30.0,3200,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
40.18,2.0,52.19963,21.01572,3.66,29.0,3600,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
82.4,3.0,52.27738,20.93214,7.03,16.0,4300,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
74.0,4.0,52.2438287,20.9220704,5.71,3.0,4000,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
48.0,2.0,52.229,21.00888,0.47,92.0,5500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
87.0,3.0,52.31816,20.94446,10.42,17.0,4500,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
45.0,2.0,52.2641,21.04276,4.48,13.0,4650,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
40.0,2.0,52.239757,21.0824833,5.45,46.0,2800,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
63.0,4.0,52.24707,21.10167,6.9,20.0,4500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
71.0,3.0,52.22053,20.97837,2.12,26.0,5500,November 2023,1,0,0,1,0,1,0,1,1,0,0,1
38.0,2.0,52.1823249,21.0258847,5.7,21.0,3000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
45.0,2.0,52.25398,20.99522,2.54,51.0,5000,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
140.0,4.0,52.18578,21.02994,5.41,9.0,12000,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
65.0,3.0,52.28022,20.91972,7.85,8.0,3900,November 2023,1,0,1,0,1,0,1,0,0,1,1,0
60.0,3.0,52.2021313,20.9554848,4.64,14.0,3900,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
43.0,2.0,52.2025,21.0175,3.38,37.0,4050,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
39.0,2.0,52.2386,21.00311,0.77,51.0,4000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
112.5,5.0,52.21899,21.00074,1.43,8.0,6500,November 2023,1,0,0,1,0,1,0,1,1,0,0,1
112.5,5.0,52.21899,21.00074,1.43,8.0,6490,November 2023,1,0,0,1,0,1,0,1,1,0,0,1
52.0,2.0,52.1992577,21.0126829,3.66,28.0,3800,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
125.0,4.0,52.2415048,21.0263157,1.89,39.0,20000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
53.0,3.0,52.18636562,21.06137037,6.4,23.0,4250,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
40.0,2.0,52.20524,20.99802,2.97,24.0,4500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
56.0,2.0,52.25436,20.99495,2.59,51.0,4950,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
77.0,3.0,52.22749,21.09137,6.0,20.0,4500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
43.0,2.0,52.22926,21.0725,4.7,24.0,3600,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
116.0,5.0,52.25444,20.98518,2.82,40.0,13000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
41.0,2.0,52.2458,20.9646,3.08,16.0,3200,November 2023,0,1,0,1,0,1,0,1,0,1,0,1
46.0,2.0,52.2049741,21.0137892,3.05,32.0,3500,November 2023,1,0,1,0,1,0,1,0,1,0,0,1
53.0,2.0,52.27653,20.95159,6.11,26.0,6000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
70.0,3.0,52.17521,21.0308,6.55,13.0,4850,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
48.0,2.0,52.2363,20.98655,1.27,69.0,5600,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
62.0,3.0,52.20593,21.04248,3.91,19.0,8000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
50.0,2.0,52.24202,20.89616,7.4,14.0,4000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
67.0,2.0,52.16047,21.07848,9.43,29.0,4300,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
57.0,2.0,52.19227,20.97601,4.77,6.0,4000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
45.0,2.0,52.26481,20.95152,5.11,11.0,4000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
62.85,2.0,52.23057,20.90871,6.46,21.0,4000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
50.46,2.0,52.28881,21.05383,7.21,18.0,2800,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
33.0,1.0,52.3195683,20.9985435,9.78,4.0,2500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
80.0,4.0,52.2201,21.0153,1.52,90.0,7500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
28.0,1.0,52.1574737,21.0310718,8.47,34.0,3200,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
145.0,6.0,52.2010705,21.03900024,4.18,23.0,11500,November 2023,1,0,0,1,0,1,0,1,1,0,0,1
73.23,3.0,52.23057,20.97836,1.72,31.0,13000,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
73.23,3.0,52.23417,20.98585,1.24,70.0,13000,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
33.0,2.0,52.2465864,20.9105975,6.54,2.0,2650,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
53.0,3.0,52.27603,20.91381,7.85,6.0,3800,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
40.0,2.0,52.2309673,21.11371962,7.5,4.0,2500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
50.0,2.0,52.2588043,20.9839985,3.29,19.0,4900,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
80.0,4.0,52.19277,20.90063,8.24,23.0,6000,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
52.0,2.0,52.25946,20.97004,3.84,37.0,4200,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
40.0,2.0,52.2532275,21.0008098,2.4,35.0,3500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
90.0,3.0,52.18915,21.06768,6.44,12.0,5500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
70.0,3.0,52.23192,20.98775,1.08,66.0,6500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
42.1,2.0,52.15681548,21.02251415,8.43,15.0,2700,November 2023,1,0,0,1,0,1,0,1,1,0,0,1
82.94,5.0,52.1718,21.2028,15.12,6.0,4800,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
50.0,2.0,52.24783,20.92078,5.91,15.0,2800,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
45.0,2.0,52.2485685,21.0132246,1.99,81.0,6500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
80.0,3.0,52.2547037,20.9950343,2.62,48.0,8500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
80.0,3.0,52.20758,20.96512,3.75,16.0,5000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
69.0,2.0,52.2312,21.00261,0.09,59.0,12500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
50.0,2.0,52.19706,21.0225,4.06,27.0,4000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
38.6,2.0,52.2003,20.96888,4.22,14.0,2500,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
27.0,1.0,52.1911991,20.98997,4.6,19.0,2500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
37.0,2.0,52.234662,20.8967421,7.28,17.0,3200,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
40.0,2.0,52.2260653,20.8909361,7.7,10.0,3000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
45.0,2.0,52.2037,21.0376,3.88,25.0,4000,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
48.0,2.0,52.2335,20.9803,1.6,52.0,4450,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
65.0,3.0,52.22743,20.95305,3.47,23.0,7800,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
75.0,3.0,52.2502507,20.9953916,2.14,52.0,4800,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
100.0,4.0,52.177642,21.047995,6.73,12.0,12000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
55.0,2.0,52.2354635,21.0076736,0.5,63.0,4299,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
54.0,2.0,52.1585,21.0724,9.4,23.0,4000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
105.39,5.0,52.23644,21.02742,1.71,52.0,16750,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
135.0,4.0,52.1926,20.98716,4.49,16.0,14000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
47.0,2.0,52.18332,21.02656,5.6,21.0,4000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
35.0,1.0,52.226,20.98162,1.62,21.0,4000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
88.6,4.0,52.25032,20.99715,2.11,40.0,7660,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
74.0,3.0,52.22600928,21.06136044,3.99,21.0,5500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
46.0,2.0,52.2581961,20.9759569,3.49,31.0,3600,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
62.5,3.0,52.227481,20.89673152,7.29,19.0,4500,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
80.0,3.0,52.23192,20.98775,1.08,66.0,6500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
35.0,2.0,52.22141,21.01007,1.23,78.0,5500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
125.0,4.0,52.175,21.0444,6.89,12.0,10500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
64.0,2.0,52.2309283,21.0562752,3.59,50.0,5000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
34.59,2.0,52.17544005,20.99158318,6.31,18.0,3900,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
60.0,2.0,52.263884,20.987098,3.75,34.0,4200,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
100.0,3.0,52.160438,21.0783996,9.43,29.0,12000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
95.0,3.0,52.22383,21.01006,0.98,93.0,10000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
78.44,4.0,52.23724,21.02288,1.45,87.0,7700,November 2023,1,0,1,0,1,0,1,0,1,0,0,1
60.0,2.0,52.16692,21.01187,7.23,5.0,4300,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
52.0,2.0,52.15776,21.07611,9.6,19.0,5800,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
92.0,4.0,52.19975,20.97671,4.0,24.0,5800,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
110.0,4.0,52.252821,21.034225,3.14,40.0,7000,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
57.0,2.0,52.23147522,20.98701784,1.13,63.0,4000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
54.0,2.0,52.155069,21.080622,10.01,8.0,3300,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
68.17,4.0,52.1863509,20.9063228,8.33,14.0,3700,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
65.0,3.0,52.25071,21.01272,2.2,76.0,4800,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
85.23,3.0,52.1604,21.07992,9.49,28.0,7500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
49.0,2.0,52.18873,20.98913,4.88,20.0,5700,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
44.0,2.0,52.14176,21.06389,10.81,22.0,4000,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
56.0,2.0,52.23658881,21.06447315,4.18,26.0,2800,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
42.0,2.0,52.17867,20.99015,5.97,10.0,4000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
46.0,2.0,52.15568,21.03457,8.71,30.0,4000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
45.0,2.0,52.26479135,20.94999924,5.18,14.0,3800,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
48.0,2.0,52.23243,20.96993,2.29,35.0,3600,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
128.0,4.0,52.18528,21.0448,5.88,9.0,7450,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
87.0,4.0,52.16408,21.07949,9.13,26.0,8000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
81.0,3.0,52.16399265,21.07524927,8.98,37.0,7500,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
75.0,3.0,52.225,21.03484,2.26,25.0,8500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
60.0,3.0,52.23563,20.98657,1.24,74.0,7500,November 2023,1,0,1,0,1,0,1,0,0,1,1,0
56.0,2.0,52.16279,21.07965,9.25,25.0,4900,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
47.0,2.0,52.1887,21.0475,5.64,11.0,3000,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
45.0,2.0,52.31469,21.06264,10.06,19.0,2900,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
40.0,2.0,52.22602,20.95643,3.27,12.0,2900,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
35.85,2.0,52.18406,21.00806,5.31,19.0,3378,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
80.0,3.0,52.196607,21.126872,9.26,5.0,4300,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
50.0,2.0,52.23065,20.97569,1.9,32.0,4500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
61.0,3.0,52.19299,20.97337,4.77,6.0,3900,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
65.0,2.0,52.20436,21.0028,3.04,28.0,4400,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
130.0,6.0,52.1849,21.03226,5.56,5.0,13000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
48.0,2.0,52.2473895,21.0063845,1.75,78.0,2700,November 2023,1,0,1,0,1,0,1,0,1,0,0,1
75.0,3.0,52.20666,21.03758,3.62,20.0,5900,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
137.0,4.0,52.25608063,21.00522232,2.71,20.0,10000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
36.5,2.0,52.26594,21.04068,4.57,9.0,3500,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
48.0,2.0,52.20369,20.88138,8.89,11.0,3600,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
49.5,2.0,52.25649,20.98023,3.18,25.0,4500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
45.0,3.0,52.24742,21.01775,2.0,49.0,4800,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
56.0,2.0,52.14752,21.049,9.86,33.0,5500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
50.0,2.0,52.228,21.01261,0.74,115.0,4500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
69.0,3.0,52.22986,21.0954,6.26,18.0,4300,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
150.0,5.0,52.20916,21.20213,13.76,1.0,12000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
62.0,3.0,52.2385723,20.988075,1.3,72.0,6400,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
100.0,3.0,52.15802,21.06636,9.24,10.0,8000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
52.0,2.0,52.23498,20.99244,0.84,89.0,6000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
112.0,4.0,52.22024,20.98244,1.92,37.0,10000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
51.5,2.0,52.22935,21.0773,5.03,23.0,4000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
51.0,2.0,52.18551,20.99438,5.18,18.0,4400,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
58.0,2.0,52.2346385,20.9905016,0.95,90.0,4900,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
65.0,3.0,52.2552388,20.9872156,2.84,39.0,3390,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
42.0,2.0,52.21965,20.8943,7.56,5.0,4150,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
43.0,2.0,52.20958,21.02066,2.72,33.0,4000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
53.0,2.0,52.24791,21.06362,4.47,23.0,4000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
60.0,2.0,52.20213,20.95548,4.64,14.0,4000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
75.0,3.0,52.22533,21.03811,2.46,22.0,8500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
41.0,2.0,52.24531,21.01348,1.66,67.0,4600,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
